EMPRESAS DEL GRUPO REPSOL,Solred profesional,"Todos los clientes profesionales que paguen con Solred Profesional, se beneficiar�n de un descuento o no, seg�n negociaci�n individual.",,0.000,C�ntimos de euro en cada litro,Transportistas profesionales
"TAMOIL ESPA�A, S.A.",mycard,tarjeta de credito para gasoleos en la red tamoil,,,,Todos los consumidores
"TAMOIL ESPA�A, S.A.",mycard profesional,tarjeta de credito para gas�leo profesional en la red tamoil,,,,Transportistas profesionales
"TAMOIL ESPA�A, S.A.",tamoil club,tarjeta de descuento para pago contado y facturacion mensual.,,,,Todos los consumidores
"DISA RETAIL ATLANTICO, S.L.U",DESCUENTO A CLIENTES IKEA,PROMOCION 3% DESCUENTO A CLIENTES IKEA EN TODA LA RED,,3.000,Porcentaje sobre el precio total,Todos los consumidores
"DISA RED DE SERVICIOS PETROLIFEROS, S.A.",DESCUENTO A CLIENTES IKEA,PROMOCION 3% DESCUENTO A CLIENTES IKEA EN TODA LA RED,,3.000,Porcentaje sobre el precio total,Todos los consumidores
"OIL ALBERA, S.L.",DIESEL CARD ORO,TARJETA DE PAGO APLAZADO CON DESCUENTOS PACTADOS DEPENDIENDO DEL POTENCIAL DE CONSUMO,,3.000,C�ntimos de euro en cada litro,Todos los consumidores
"OIL ALBERA, S.L.",DIESEL CARD PLATA,TARJETA- FIDELIZACION  DE  PAGO CONTADO CON  DESCUENTO  ES INMEDIATO,,2.000,C�ntimos de euro en cada litro,Todos los consumidores
BP OIL ESPA�A S.A.U.,Tarjeta BONUS,Tarjeta de descuento inmediato en el momento de compra. (Descuentos a partir de 1 cts/litro seg�n volumen),,1.000,C�ntimos de euro en cada litro,"Colectivos (taxis, flotas de veh�culos, etc.)"
BP OIL ESPA�A S.A.U.,Tarjeta BP PLUS (Routex),Tarjeta de pago para carburantes y productos de las Estaciones de Servicio. (Descuentos a partir de 1 cts/litro seg�n volumen),,1.000,C�ntimos de euro en cada litro,Transportistas profesionales
EMPRESAS DEL GRUPO REPSOL,Repsol M�s Visa,"Todos los clientes que paguen con la tarjeta Repsol mas Visa (tarjeta de uso particular)  podr�n disfrutar de un descuento de hasta 3cts.�/l en carburante y hasta 5cts.�/L en carburante Premium, y un 5% de descuento sobre PVP en compras en tienda, lubricantes y lavados; El descuento se aplicar� en el momento de la compra.",,3.000,C�ntimos de euro en cada litro,Todos los consumidores
EMPRESAS DEL GRUPO REPSOL,Tarjetas cobranded solred,Todos los clientes que pagen con las tarjetas Cobranded Solred (tarjeta bancaria dirigida a autonomos pymes y empresas) conseguiran un 2% sobre el importe total de su repostaje,,2.000,Porcentaje sobre el precio total,Todos los consumidores
EMPRESAS DEL GRUPO REPSOL,Solred regalo,Tarjeta privada con un importe fijado por Repsol y no recargable.,,0.000,C�ntimos de euro en cada litro,Todos los consumidores
"VALCARCE TARJETA TRANSPORTE, S.A.",valcarce,"descuento de 1,8 centimos de euro en litro en gasoleo a",,1.800,C�ntimos de euro en cada litro,Todos los consumidores
"VALCARCE TARJETA TRANSPORTE, S.A.",valcarce cash,"descuento de 3,6 centimos de euro en litro en gasoleo a y gasolinas",,3.600,C�ntimos de euro en cada litro,Todos los consumidores
"MEROIL, S.A.",TARJETA MEROIL DESCUENTO,dESCUENTO POR LITRO,,1.800,C�ntimos de euro en cada litro,Todos los consumidores
